Job Title,Job Type,Contractor Tier
Sentry.io Expert,Hourly: $15-$30,Intermediate
Looking for Highly Motivated Flutter Developer,Hourly: $35-$45,Intermediate
Fluter/ android developer,Fixed-price,Intermediate
Smooth LazyLoad & loading indicator to Infinite Scroll 5 Staggered/Listview element FlutterFlow app,Fixed-price,Expert
Experienced Backend Developer for Location-Based Soccer Flutter App,Hourly: $16-$30,Intermediate
Develop face detection function in flutter app,Fixed-price,Expert
Flutter + Firebase + BLE + server backend,Fixed-price,Intermediate
Migrate Legacy Native iOS/Android Codebase to Flutter/Dart,Hourly: $15-$30,Expert
"Senior Flutter Developer, Excels at API integration, State Management, and debugging.",Hourly: $25-$35,Expert
"Hybrid Mobile App Developer - React Native, Flutter",Hourly,Expert
Film & serie app,Fixed-price,Expert
Flutter IOS/ANDROID Features,Hourly: $12-$25,Entry level
Flutter Developer for Bug Fixes in Existing App,Fixed-price,Intermediate
Build quran read with compass by flutter,Fixed-price,Entry level
Building Admin panel and Partner app and User app (mobile app IOS and Android),Fixed-price,Expert
Need easily available Flutter Developer,Hourly: $34-$45,Intermediate
Seeking a Senior Flutter Developer,Hourly: $25-$45,Expert
fix error in Revnuecat configuration in flutter,Fixed-price,Intermediate
Build mobile application,Fixed-price,Intermediate
"Help debug production Flutter application (Firebase authentication, Android)",Fixed-price,Expert
Flutter with BLE with tie-in to outside API's.,Fixed-price,Intermediate
Flutter Web App For Renting Parking Spaces,Fixed-price,Intermediate
Personalized News App: A news app that uses GPT-3 to generate personalized news summaries,Fixed-price,Intermediate
Full-stack mobile app engineer,Hourly: $25-$47,Expert
App developer needed ASAP,Hourly: $25-$40,Expert
Flutter,Hourly: $15-$30,Intermediate
Flutter/Dart developer to fix BLE connectivity on Mobile Application,Fixed-price,Expert
Freelance Flutter developer - 1 to 3 years of experience,Hourly: $7-$10,Intermediate
Referral system integration in Flutter and Laravel Backend,Fixed-price,Expert
Laundry App,Fixed-price,Expert
Basic Quiz Mobile App,Fixed-price,Intermediate
Flutter developer to fix the feedback on the registration page.,Fixed-price,Expert
Flutter developer to complete the feature on the course/competition page,Fixed-price,Expert
Flutter developer to complete the leaderboard feature.,Fixed-price,Expert
A Flutter app for managing restaurant,Fixed-price,Intermediate
Flutter Developer,Hourly: $25-$45,Expert
Flutter developer to fix the edit profile and profile pages.,Fixed-price,Expert
Android developer needed who can work on flutter,Fixed-price,Intermediate
PDFMAILER Mobile App,Fixed-price,Expert
API integration in Flutter App,Hourly,Expert
Flutter developer for a grocery project,Fixed-price,Expert
Job Title: Flutter Developer,Hourly: $20-$45,Expert
Programming Languages Tests,Hourly: $25-$47,Expert
Mobile Application Developer - Flutter and AWS Amplify,Hourly: $15-$30,Intermediate
Frameworks Tests,Hourly: $25-$47,Expert
Cryptocurrency Related Tests,Hourly: $25-$47,Expert
Talented Flutter developer needed for an exciting new QR code app,Hourly,Intermediate
Modify my flutter app,Fixed-price,Expert
Flutter developer required on a monthly basis (Must have exp in bloc architecture),Fixed-price,Entry level
Native Mobile Framework Development,Hourly,Expert
Flutter developers/Health Product,Hourly: $15-$40,Intermediate
Flutter - Fix Cognito auth issue in my existing flutter app,Fixed-price,Expert
FLUTTER FIREBASE DYNAMIC LINKS CUSTOM URL SCHEME FACEBOOK ADS not working as deep link.,Fixed-price,Expert
Flutter app dev for health app,Hourly: $15-$30,Intermediate
Migrate Legacy Native iOS/Android Codebase to Flutter/Dart,Hourly: $15-$30,Expert
Existing flutter app need a developer to fix push notifications not working in production,Fixed-price,Intermediate
Update Hybrid Flutter Screen design,Fixed-price,Expert
Full stack mobile app (Flutter) developer- Expert,Hourly: $5-$10,Expert
Flutter Developer,Hourly: $13-$15,Intermediate
Roku SDK Development,Hourly: $25-$45,Expert
Flutter team for fintech app,Hourly: $15-$25,Expert
Marketplace app,Fixed-price,Intermediate
App Developer,Fixed-price,Intermediate
Multi-Platform App for Android + iOS + Zoom (web),Hourly: $50-$71,Intermediate
fixing bug in revnueCat configuration in flutter,Fixed-price,Intermediate
Revenue cat configuration error,Fixed-price,Expert
Flutter Developer for Music Streaming App,Hourly: $25-$45,Expert
Flutter Developer,Hourly: $15-$30,Intermediate
Modify and follow up on an existing project,Fixed-price,Expert
Flutter App with Uber Cab like features,Hourly,Intermediate
Flutter developer for IOS and Android application,Hourly: $5-$7,Intermediate
Live Camera Scan for Flutter App,Hourly,Expert
Rebuild existing mobile app without the bugs - for apple and android,Fixed-price,Expert
Mobile App Development Authentication with Firebase,Hourly,Intermediate
"Development of simple game on Flutter - ""12 Throw""",Fixed-price,Intermediate
Rebuild ready Flutter app,Fixed-price,Intermediate
Build me a game in Flutter,Fixed-price,Entry level
We need to implement a reset password function on our mobile app,Fixed-price,Intermediate
Customization of completed Flutter app,Hourly,Expert
Flutter with RS485 control board communication protocol,Fixed-price,Intermediate
"Changes on Read, Compose . Reskin , Photo",Fixed-price,Intermediate
Freelance Flutter Developer,Fixed-price,Intermediate
Flutter development - Login And Onboarding for Tablet and computer screens,Fixed-price,Intermediate
Ui ux mobile app designer,Hourly: $15-$35,Intermediate
Android Developer,Hourly,Expert
Need to do changes in the flutter and which has firebase backend ( features and bugs),Hourly: $10,Intermediate
"Need a Sr, Flutter developer",Fixed-price,Expert
Fix a subtle bug,Fixed-price,Expert
Seeking a flutter developer with stripe plugin experience,Hourly,Expert
App Developer Lead,Fixed-price,Expert
Frontend flutter,Fixed-price,Entry level
Simple community Mobile app,Fixed-price,Intermediate
Flutter App Frontend,Fixed-price,Expert
Flutter Developer,Fixed-price,Intermediate
Flutter Developer,Fixed-price,Intermediate
Full time Senior Flutter Developer for Complex SDK integrations,Hourly: $45-$60,Expert
Flutter Developer,Fixed-price,Expert
Flutter Developer Required,Fixed-price,Intermediate
"Full Stack Backend Development for Social Network App (WebRTC, VoIP, Chat, Video Sharing...)",Fixed-price,Expert
App for iOS and Android,Fixed-price,Intermediate
A programmer is required to work on an application similar to Tik Tok 100%,Fixed-price,Entry level
Full stack App developer for a D2C company,Fixed-price,Expert
Built Github dart App,Fixed-price,Intermediate
UI/UX Design teacher for 1 month,Fixed-price,Expert
Dockerize our Flutter app,Hourly: $22-$43,Intermediate
Mobile integration into media source and MMP (appsflyer),Hourly: $25-$60,Expert
Flutter developer,Hourly,Expert
NodeJS and FlutterFlow developer for a simple app,Hourly: $13-$28,Entry level
FlutterFlow + Flutter + Webhooks,Hourly: $5-$25,Expert
Flutter Technical Content Creator,Hourly,Expert
Migrate Ionic app to FlutterFlow,Fixed-price,Intermediate
Senior App Developer,Hourly: $10-$15,Expert
I need an professional Flutter app developer,Fixed-price,Entry level
Designer UX/UI for a mobile app,Hourly: $17-$35,Intermediate
Flutter Developers - Long-Term Partnership,Hourly: $10-$40,Intermediate
Flutter app task and publish the app on app store,Fixed-price,Expert
Develop a WAZE like geolocation mobile app,Fixed-price,Intermediate
Want CapCut similar,Fixed-price,Intermediate
Integrate ChatGPT chatbot API into an existing flutter app.,Fixed-price,Expert
Flutter Developer (Indonesia Only),Hourly: $5-$10,Entry level
Native App development - Flutter,Fixed-price,Intermediate
Field Sales/CRM Mobile App with FlutterFlow,Fixed-price,Intermediate
Fullstack backend development,Fixed-price,Intermediate
Food Biding App on flutter with admin dashboard with firebase,Fixed-price,Intermediate
